ALB                    CARICA BATTERIA BC 12V
BC                     BATTERIA ALLARME 12V 7AH
AMC1                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AMC2                   ALIMENTATORE MCP2015X-SMD,RSS 24V

F1                     FUSIBILE 4A TR1
F2                     FUSIBILE 4A TR2
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5 - F6                FUSIBILE MOTORE PORTE TRIFASE-48VCC
F7                     FUSIBILE 4A OPERATORE PORTE ELETTRONICO
F8                     FUSIBILE PATTINO RETRATTILE
F9                     FUSIBILE 4A PROTEZIONE CIRCUITO FRENO
F16 - F17              FUSIBILE 4A VENTOLA MOTORE

VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
TR2                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

MCP2015X-SMD           SCHEDA MADRE
PER16B-SMD             SCHEDA ESPANSIONE CHIAMATE-LUMINOSE
L1307                  SCHEDA LEGGE 13
L1000A                 VVVF YASKAWA L1000A

TM - TM1               TELERUTTORI MARCIA
RF                     RELÈ FRENO
RP                     RELÈ PATTINO
AP1 - AP2              RELÈ APERTURA
CP1 - CP2              RELÈ CHIUSURA
RL1                    RELÈ ALLARME OPERATORE 48VCC LATO1
RL2                    RELÈ ALLARME OPERATORE 48VCC LATO2
RVF                    RELÈ VENTOLA MOTORE
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD3                    RADDRIZZATORE FRENO
RD4                    RADDRIZZATORE PATTINO
RD5 - RD6              RADDRIZZATORI OPERATORI PORTE 48VCC

IS                     INDUTTORE N.O. CONTEGGIO SALITA E FERMATA
ID                     INDUTTORE N.O. CONTEGGIO DISCESA E FERMATA
FCS                    BISTABILE FINECORSA SALITA
FCD                    BISTABILE FINECORSA DISCESA
IAX                    INDUTTORE N.O. PER FERMATA PIANO ESTREMO CORTO
